,data,label
14715,ynci kayu chapter,ynci kayuagung chapter
14716,ynci kayuagung chap,ynci kayuagung chapter
14717,ama kicau,amanah kicau
14718,dok a iskandar n sp og,dokter a iskandar n sp og
14719,dokter a iska n sp og,dokter a iskandar n sp og
14720,toko anz,toko anzana
14721,merb,merbabu
14722,penit motor kukuh bakuh 2,penitipan motor kukuh bakuh 2
14723,water boom bint fantasi,water boom bintang fantasi
14724,toko racun sejah,toko racun sejahtera
14725,ayun project,ayundya project
14726,husni tham,husni thamrin
14727,hoy seafood rumah makan,hoyong seafood rumah makan
14728,sd neg 2 labuhan dalam,sd negeri 2 labuhan dalam
14729,perum lamongan resid,perumahan lamongan resid
14730,perumahan lamo resid,perumahan lamongan resid
14731,pasu,pasundan
14732,jend sudirman,jendral sudirman
14733,war kopi hg,warung kopi hg
14734,mas mutimmatul ihsan,masjid mutimmatul ihsan
14735,perum alam raya jatil & graha nirwana,perum alam raya jatiluhur & graha nirwana
14736,ling luar,lingkar luar
14737,hj. supartinah kusn,hj. supartinah kusnadi
14738,kios atiqa,kiospon atiqa
14739,kb dha wanita cerme,kb dharma wanita cerme
14740,tom tour dan travel,tomaco tour dan travel
14741,bambu lara rawa beng,bambu lara  rawa bengkel
14742,bimbingan minat baca dan bela anak aiueo - karawaci,bimbingan minat baca dan belajar anak aiueo - karawaci
14743,baso ben sukahati,baso benhil sukahati
14744,pla ban,planet ban
14745,lido lake res by mn,lido lake resort by mn
14746,raya cicale - majalaya,raya cicalengka - majalaya
14747,mar granit gypsum,marmer granit gypsum
14748,pang rambut magelang,pangkas rambut magelang
14749,pangkas ram magelang,pangkas rambut magelang
14750,pangkas rambut mage,pangkas rambut magelang
14751,per,perdam
14752,wisata kuliner wiy,wisata kuliner wiyung
14753,alifah decoration,alifaharis decoration
14754,velg mobil ked,velg mobil kediri
14755,dand,dandels
14756,mas ldii kelurahan srengseng,masjid ldii kelurahan srengseng
14757,masjid ldii kelur srengseng,masjid ldii kelurahan srengseng
14758,faber cast,faber castell
14759,jl. teja barat kwasan tahanan+14,jl.rya teja barat kwasan tahanan+14
14760,ins music studio,inside music studio
14761,bersau motor,bersaudara motor
14762,balai penyul pertanian,balai penyuluhan pertanian
14763,toko tanj,toko tanjung
14764,pt. milenium pharmacon internat tbk.,"pt. milenium pharmacon international, tbk."
14765,musholla sabilal mutt,musholla sabilal muttaqin
14766,lbh hirjaksel lembaga bant hukum,lbh hirjaksel lembaga bantuan hukum
14767,dpac par demokrat,dpac partai demokrat
14768,mush miftahul anwar,musholla miftahul anwar
14769,musholla mift anwar,musholla miftahul anwar
14770,cvforum masyar buruh,cvforum masyarakat buruh
14771,smp islam terp al-utsaimin,smp islam terpadu al-utsaimin
14772,mush baitul mutaqin,musholla baitul mutaqin
14773,musholla bai mutaqin,musholla baitul mutaqin
14774,beng motor,bengkel motor
14775,pasar pagu los 1,pasar pagutan los 1
14776,war kopi canai tirto moto,warung kopi canai tirto moto
14777,nik karaoke,nikita karaoke
14778,klinik phone serv hp,klinik phone service hp
14779,tahu alit,tahunan alit
14780,war kopi,warung kopi
14781,suh,suhemi
14782,batas lhokse labu,batas lhokseumaw labu
14783,altern cibu cileu,alternatif cibu cileu
14784,beach laun,beach laundry
14785,taman palem lest,taman palem lestari
14786,kios pakan bur anugerah,kios pakan burung anugerah
14787,kios pakan burung anug,kios pakan burung anugerah
14788,uma klec,umalas klec
14789,wol mongin,wol monginsidi
14790,war jamil sawargi,warung jamil sawargi
14791,warung jamil war,warung jamil sawargi
14792,makindo securi,makindo securities
14793,jend sudi,jend sudirman
14794,percet mathlaul huda center,percetakan mathlaul huda center
14795,percetakan math huda center,percetakan mathlaul huda center
14796,trit,tritura
14797,mali salon,malinda salon
14798,djan ripin,djantima ripin
14799,ra'm relax,ra'mouse relax
14800,raya pung gajah,raya punggur gajah
14801,smpn 3 abians,smpn 3 abiansemal
14802,tk swa al jufri iv,tk swasta al jufri iv
14803,perum bambu kun puskopkar,perum bambu kuning puskopkar
14804,jl. i gst ketut jela,jl. i gst ketut jelantik
14805,sd negeri karangk 02,sd negeri karangkemiri 02
14806,indri batik,indriyani batik
14807,bai mall,baitul mall
14808,toko sugihw kaca dan aluminium,toko sugihwaras kaca dan aluminium
14809,deko pelaminan dan area,dekorasi pelaminan dan area
14810,let soepr,let soeprapto
14811,lptq kecamatan kalasan kabup sleman,lptq kecamatan kalasan kabupaten sleman
14812,jl. pin baris,jl. pinang baris
14813,chocro apo,chocro apotik
14814,rm sel kita bu mumun,rm selera kita bu mumun
14815,alfa x764 krck kara,alfamrt x764 krck kara
14816,muli,muliati
14817,abadi gent jatiwangi,abadi genteng jatiwangi
14818,pahl revo,pahlawan revo
14819,sd neg majalaya 6,sd negeri majalaya 6
14820,sd negeri maja 6,sd negeri majalaya 6
14821,akram listrik token pulsa dll,akramfaiz listrik token pulsa dll
14822,akramfaiz list token pulsa dll,akramfaiz listrik token pulsa dll
14823,waro la mart,waroeng la mart
14824,kan arsip dan perpustakaan kabupaten kuningan,kantor arsip dan perpustakaan kabupaten kuningan
14825,kantor arsip dan perpust kabupaten kuningan,kantor arsip dan perpustakaan kabupaten kuningan
14826,kantor arsip dan perpustakaan kabup kuningan,kantor arsip dan perpustakaan kabupaten kuningan
14827,war mbak tefi,warung mbak tefi
14828,ver dan bikin levis,vermak dan bikin levis
14829,sad,sadewa
14830,perum tanju asri c1,perum tanjungan asri c1
14831,sun pare,sungai pare
14832,jend sudirman,jenderal sudirman
14833,depan gereja kato santa maria,depan gereja katolik santa maria
14834,tpa al ikh 2,tpa al ikhlas 2
14835,mas tazkir,masjid tazkir
14836,kli amalda rahma,klinik amalda rahma
14837,"nota richardus henry susanto, sh","notaris richardus henry susanto, sh"
14838,notaris richardus henry susa sh,"notaris richardus henry susanto, sh"
14839,indah phone,indah phonecell
14840,pangkas ram madura,pangkas rambut madura
14841,ban mertha gangga,banjar mertha gangga
14842,taman pendid al-qur'an al huda,taman pendidikan al-qur'an al huda
14843,taman pendidikan al-qu al huda,taman pendidikan al-qur'an al huda
14844,taman makam pahl pusara bhakti,taman makam pahlawan pusara bhakti
14845,taman makam pahlawan pus bhakti,taman makam pahlawan pusara bhakti
14846,arw mas 2b,arwana mas 2b
14847,kedai coffee,kedai coffee-moe
14848,kan notaris dan ppat ardhi harpo sh mkn,kantor notaris dan ppat ardhi harpo sh mkn
14849,kantor nota dan ppat ardhi harpo sh mkn,kantor notaris dan ppat ardhi harpo sh mkn
14850,kur setir mobil panca sarijaya,kursus setir mobil panca sarijaya
14851,kursus setir mobil panca sari,kursus setir mobil panca sarijaya
14852,pluit kar elok xviii,pluit karang elok xviii
14853,chai anwar,chairil anwar
14854,siwa,siwangan
14855,tron office supplies,tronika office supplies
14856,tronika off supplies,tronika office supplies
14857,tang bongkar,tangguk bongkar
14858,islamic junior high sch baidhaul ahkam,islamic junior high school baidhaul ahkam
14859,lont malam sederhana,lontong malam sederhana
14860,pt. media massa indon (berita24com) gandaria 8 office tower 8 fl,pt. media massa indonesia (berita24com) gandaria 8 office tower 8 fl
14861,pt. media massa indonesia (berita24com) gand 8 office tower 8 fl,pt. media massa indonesia (berita24com) gandaria 8 office tower 8 fl
14862,pt. media massa indonesia (berita24com) gandaria 8 off tower 8 fl,pt. media massa indonesia (berita24com) gandaria 8 office tower 8 fl
14863,mas baiturrahim,masjid baiturrahim
14864,bak ayam jamur dan bakso,bakmie ayam jamur dan bakso
14865,bakmie ayam jamur dan bak,bakmie ayam jamur dan bakso
14866,kal,kalang
14867,perum kemiling asri,perumahan kemiling asri
14868,bable ban blend,bable banana blend
14869,ruang kecil gall dan coffee kudus,ruang kecil gallery dan coffee kudus
14870,ruang kecil gallery dan cof kudus,ruang kecil gallery dan coffee kudus
14871,toko bang mriyan agung,toko bangunan mriyan agung
14872,sop paris,sophie paris
14873,karo quantum,karoseri quantum
14874,danau gel,danau geling
14875,kli pijat tunanetra inyo abi,klinik pijat tunanetra inyo abi
14876,klinik pijat tunan inyo abi,klinik pijat tunanetra inyo abi
14877,abil collec,abil collection
14878,gallery furni jepara,gallery furniture jepara
14879,gallery furniture jep,gallery furniture jepara
14880,flyo radin inten 1,flyover radin inten 1
14881,toko adi bakeriy,toko aditya bakeriy
14882,salon arie 2,salon ariesta 2
14883,dumai exp grub,dumai expres grub
14884,el gra hotel,el grande hotel
14885,el grande el,el grande hotel
14886,let komir kart,letkol komir kart
14887,jamiyyah nahdl ulama,jamiyyah nahdlotul ulama
14888,kiag ser,kiag serang
14889,bina laundry,binatuku laundry
14890,taman pendid al-qur'an darussalam,taman pendidikan al-qur'an darussalam
14891,taman pendidikan al-qur'an daruss,taman pendidikan al-qur'an darussalam
14892,sd neg 4 mopuya,sd negeri 4 mopuya
14893,inst lpk pengembangan kejuruan kewirausahaan indonesia,institut lpk pengembangan kejuruan kewirausahaan indonesia
14894,institut lpk pengemb kejuruan kewirausahaan indonesia,institut lpk pengembangan kejuruan kewirausahaan indonesia
14895,warm gladis,warmindo gladis
14896,war kopi serui,warung kopi serui
14897,museum in the cen of the garden,museum in the centre of the garden
14898,tose griya kopoprma,toserba griya kopoprma
14899,panti pijat tuna netra hara i,panti pijat tuna netra harapan i
14900,ko.fa hosp resid,ko.fa hospital resid
14901,kan lurah anggilowu,kantor lurah anggilowu
14902,bhas iii,bhaskara iii
14903,sisin xii,sisingama xii
14904,pon lesehan sari kuring,pondok lesehan sari kuring
14905,pondok lese sari kuring,pondok lesehan sari kuring
14906,pondok lesehan sari kur,pondok lesehan sari kuring
14907,depot cin cincau,depot cappucino cincau
14908,depot cappucino cin,depot cappucino cincau
14909,mas baiturrohim,masjid baiturrohim
14910,bebek mas 2,bebek massip 2
14911,martapura lamp,martapura-batas lamp
14912,pusat kope unit desa,pusat koperasi unit desa
14913,keta bike,ketapang bike
14914,perumahan griya apri 1,perumahan griya aprillia 1
14915,abu nimah sejah utama. pt,abu nimah sejahtera utama. pt
14916,unt suro,untung suro
14917,majelis tak ar rahman,majelis taklim ar rahman
14918,sara pagi cece,sarapan pagi cece
14919,toyo mult pt,toyo multikom pt
14920,war ibu marni,warung ibu marni
14921,mas nurul huda,masjid nurul huda
14922,ranca maja,rancaekek maja
14923,toko jil angger,toko jilbab angger
14924,sun poso,sungai poso
14925,tradit snack,traditional snack
14926,sekolah menengah pert negeri 4,sekolah menengah pertama negeri 4
14927,sekolah menengah pertama neg 4,sekolah menengah pertama negeri 4
14928,katumbiri custom cake cian,katumbiri custom cake cianjur
14929,apo hefa sentra medica,apotek hefa sentra medica
14930,apotek hefa sen medica,apotek hefa sentra medica
14931,kar ten raya,kar tengah raya
14932,dinas perta peternakan perkebunan dan kehutanan,dinas pertanian peternakan perkebunan dan kehutanan
14933,dinas pertanian petern perkebunan dan kehutanan,dinas pertanian peternakan perkebunan dan kehutanan
14934,dinas pertanian peternakan perkeb dan kehutanan,dinas pertanian peternakan perkebunan dan kehutanan
14935,ist jati,istana jati
14936,surya cell dan percet,surya cell dan percetakan
14937,war kopi,warung kopi
14938,priangan florist & wedd decorations bandung,priangan florist & wedding decorations bandung
14939,priangan florist & wedding decora bandung,priangan florist & wedding decorations bandung
14940,pluit sela raya,pluit selatan raya
14941,hi interna pt,hi international pt
14942,tahubakso - taso ci emb,tahubakso - taso ci embhul
14943,khaz salima,khazana salima
14944,khazana sal,khazana salima
14945,kan administrasi verslais,kantor administrasi verslais
14946,gereja kris kalam kudus,gereja kristen kalam kudus
14947,war bento,warung bento
14948,muti murni,mutiara murni
14949,clar laundry and dry cleaning,clarissa laundry and dry cleaning
14950,clarissa dry and dry cleaning,clarissa laundry and dry cleaning
14951,lobar commis office,lobar commission office
14952,warung makan ndang bestik,warung makan ndangdung bestik
14953,let iska,letkol iska
14954,sari salon,sariayu salon
14955,hara surya,harapan surya
14956,war putri,wartel putri
14957,2l salon and mak,2l salon and makeup
14958,ud musa pertuk kayu laban,ud musa pertukangan kayu laban
14959,rai fashion,raihan fashion
14960,perm farma,permata farma
14961,komp minasa upa,komplek minasa upa
14962,komplek min upa,komplek minasa upa
14963,kope karyawan bhakti samudra,koperasi karyawan bhakti samudra
14964,koperasi karyawan bha samudra,koperasi karyawan bhakti samudra
14965,sd neg tulakan 2,sd negeri tulakan 2
14966,sd negeri tula 2,sd negeri tulakan 2
14967,pon karya vii,pondok karya vii
14968,the adisuc residence,the adisucipto residence
14969,vingcard els indonesia,vingcard elsafe indonesia
14970,yamaha rama motor,yamaha ramarayo motor
14971,raya rama,raya kramat
14972,mas optik,massie optik
14973,panj,panjang
14974,iwan photo stu digital photo print,iwan photo studio digital photo print
14975,iwan photo studio digi photo print,iwan photo studio digital photo print
14976,lin barat,lintas barat
14977,karang won,karanggede won
14978,sma swasta dharma wan persatuan,sma swasta dharma wanita persatuan
14979,war nasi onang rindu,warung nasi onang rindu
14980,lolipop play and cafe,lolipop playland and cafe
14981,mush fastabihul khoirot,mushola fastabihul khoirot
14982,h. nurl 2,h. nurleman 2
14983,rosa par refill,rosa parfum refill
14984,sap binti tamat,saprah binti tamat
14985,mar office reg iii pertamina ru vi,marine office reg iii pertamina ru vi
14986,"dr. muha arfiza putra saragih,sp.tht-kl","dr. muhammad arfiza putra saragih,sp.tht-kl"
14987,"dr. muhammad arf putra saragih,sp.tht-kl","dr. muhammad arfiza putra saragih,sp.tht-kl"
14988,hida akrab,hidangan akrab
14989,asik graf,asik grafika
14990,al kh,al khairat
14991,media pon,media ponsel
14992,ten syar,ten syarief
14993,hadi cell serv hp komputer,hadi cell service hp komputer
14994,hadi cell service hp komp,hadi cell service hp komputer
14995,gatot subr,gatot subroto
14996,raya cilan,raya cilangkap
14997,puspow ten,puspowarno ten
14998,naro indah,narogong indah
14999,smp neg 22 bekasi,smp negeri 22 bekasi
15000,ann kebaya collection,annisa kebaya collection
15001,jend sudirman,jenderal sudirman
15002,jenderal sudi,jenderal sudirman
15003,rm. idola teng,rm. idola teng-gor
15004,putra warna kre,putra warna kreasi
15005,wood furniture industry,woodland furniture industry
15006,woodland furni industry,woodland furniture industry
15007,smk pariwi satya widya,smk pariwisata satya widya
15008,sal indah i,saluyu indah i
15009,huda collec,huda collection
15010,goumb natur place,goumbleng natur place
15011,war threenet gaming 6,warnet threenet gaming 6
15012,warnet thre gaming 6,warnet threenet gaming 6
15013,warnet threenet gam 6,warnet threenet gaming 6
15014,dha bakti,dharma bakti
15015,cv sum anti komputer,cv sumber anti komputer
15016,toko plas sj,toko plastik sj
15017,sutr,sutrisno
15018,wereh wahanalogistik,werehouse wahanalogistik
15019,bank mand taspen pos,bank mandiri taspen pos
15020,sd neg 2 wulung,sd negeri 2 wulung
15021,wediombo park zone,wediombo parking zone
15022,hijrah aqua,hijrah aquarium
15023,taman pendid al qur'an nurul huda,taman pendidikan al qur'an nurul huda
15024,taman pendidikan al qur nurul huda,taman pendidikan al qur'an nurul huda
15025,kart,kartini
15026,merd utara,merdeka utara
15027,puloge,pulogebang
15028,faku pertanian uh,fakultas pertanian uh
15029,kan desa banjarseminai,kantor desa banjarseminai
15030,lavi ii,lavionda ii
15031,kar hijau 2,karang hijau 2
15032,kopi sema,kopi semangat
15033,pt pel harapan abadi.,pt pelita harapan abadi.
15034,pad v,padema v
15035,pari,pariyah
15036,toko sepatu dan tas san group syariah,toko sepatu dan tas santri group syariah
15037,let suprapto,letjen suprapto
15038,letjen supr,letjen suprapto
15039,gank keli,gank kelinci
15040,kampung ban,kampung banyol
15041,tanj sari,tanjung sari
15042,agen mand toko murti,agen mandiri toko murti
15043,soej bali pt,soejasch bali pt
15044,batas kampar,batas kampar-ban
15045,wij grand centre,wijaya grand centre
15046,wijaya grand cen,wijaya grand centre
15047,bpm bidan nila balikpapan,bpm bidan nilawati balikpapan
15048,sd al-madina purwo,sd al-madina purworejo
15049,cemerlang elec and electronic,cemerlang electric and electronic
15050,cemerlang electric and elec,cemerlang electric and electronic
15051,rid,ridwan
15052,gar cell,garuda cell
15053,mas al-muhajirin pertamina,masjid al-muhajirin pertamina
15054,masjid al-muha pertamina,masjid al-muhajirin pertamina
15055,sin 4,sindan 4
15056,pt tra tour and travel,pt sutra tour and travel
15057,pt sutra tour and tra,pt sutra tour and travel
15058,mart cilgar rasa,martabak cilgar rasa
15059,martabak cil rasa,martabak cilgar rasa
15060,khar anugrah,kharisma anugrah
15061,puskesmas kalamp,puskesmas kalampangan
15062,war dini tari krukut limo depok,warung dini tari krukut limo depok
15063,mts negeri 3 jaka,mts negeri 3 jakarta
15064,marz 6,marzuki 6
15065,mush al-hidayah,musholla al-hidayah
15066,kan desa tunggurono,kantor desa tunggurono
15067,kantor desa tunggu,kantor desa tunggurono
15068,hima toko,himalaya toko
15069,bril technology,briliant technology
15070,puskesmas pemb mayangan,puskesmas pembantu mayangan
15071,sul agung,sultan agung
15072,kh dewan 11,kh dewantoro 11
15073,pt citta sela utama,pt citta selaras utama
15074,vika sela,vikamas sela
15075,es kelapa muda dan kelapa bakar tat 01,es kelapa muda dan kelapa bakar tatath 01
15076,astra daih ciledug,astra daihatsu ciledug
15077,astra daihatsu cile,astra daihatsu ciledug
15078,sd neg 1 tokawi,sd negeri 1 tokawi
15079,raya arjo mawa,raya arjo mawangan
15080,smas nusa ban,smas nusa bangsa
15081,pemandian water tiara kaliurang,pemandian waterboom tiara kaliurang
15082,pemandian waterboom tiara kaliu,pemandian waterboom tiara kaliurang
15083,kap hana,kapten hana
15084,lin suma,lintas suma
15085,kom sasih,komang sasih
15086,bet enginering industri. pt,beteng enginering industri. pt
15087,beng jovan motor,bengkel jovan motor
15088,candra 2,candramerta 2
15089,poske desa mancagar,poskesdes desa mancagar
15090,pemancingan gala bawal,pemancingan galatama bawal
15091,tita cell,titanium cell
15092,riau lest,riau lestari
15093,indonesi provider,indonesia-bali provider
15094,komplek puri imp,komplek puri impian
15095,makam syekh muhy,makam syekh muhyidin
15096,unt suro,untung suro
15097,raya cileunyi,raya cikalang-cileunyi
15098,sd kato lata luri,sd katolik lata luri
15099,dusun mah,dusun mahung
15100,sma tmi roud quran,sma tmi roudotul quran
15101,water tran printing jakarta,water transfer printing jakarta
15102,water transfer printing jaka,water transfer printing jakarta
15103,rama,ramanda
15104,adi suci,adi sucipto
15105,tar karang taruna sindet trimulyo,sekretariat karang taruna sindet trimulyo
15106,sekretariat kar taruna sindet trimulyo,sekretariat karang taruna sindet trimulyo
15107,sekretariat karang tar sindet trimulyo,sekretariat karang taruna sindet trimulyo
15108,sekretariat karang taruna sin trimulyo,sekretariat karang taruna sindet trimulyo
15109,baha raya,bahagia raya
15110,sd inp yomdori,sd inpres yomdori
15111,madrasah dini aisyiyah,madrasah diniyah aisyiyah
15112,arj motor,arjuna motor
15113,kan kelurahan bonto bontoa,kantor kelurahan bonto bontoa
15114,kantor kelurahan bonto bonto,kantor kelurahan bonto bontoa
15115,"dr yunias setiawati, spkj","dr. yunias setiawati, spkj"
15116,"dr. yun setiawati, spkj","dr. yunias setiawati, spkj"
15117,dr. yunias setiaw spkj,"dr. yunias setiawati, spkj"
15118,clus store,cluster store
15119,dr. hus kart,dr. husein kart
15120,miracle aesth clinic manado,miracle aesthetic clinic manado
15121,miracle aesthetic cli manado,miracle aesthetic clinic manado
15122,hame iii,hamengku iii
15123,war dimas putra,warung dimas putra
15124,pergud sen kosa,pergudangan sen kosa
15125,letj supr,letjen. supr
15126,rm sahabat nela,rm sahabat nelayan
15127,komp bahu mall,komplek bahu mall
15128,perm hotel,permata hotel
15129,no,soekarno-hatta
15130,bengkel mobil prib motor,bengkel mobil pribumi motor
15131,chando wedd planner,chando wedding planner
15132,war ab,warkop ab
15133,bukit ceng timur,bukit cengkeh timur
15134,panti pijat mak tom,panti pijat mak tompel
15135,rm dend baka,rm dendeang baka
15136,war bakso pawon limo,warung bakso pawon limo
15137,rm chara,rm charapoto
15138,lau luas pt tbk,lautan luas pt tbk
15139,war jik mido,warung jik mido
15140,che pink,cherry pink
15141,mas al hikmah,masjid al hikmah
15142,sd neg 173419 pollung,sd negeri 173419 pollung
15143,sd negeri 173 pollung,sd negeri 173419 pollung
15144,pusat paus muti bunda,pusat paus mutiara bunda
15145,rang vii,rangkah vii
15146,faz motor,fazlie motor
15147,perum airlangga royal residance,perumahan airlangga royal residance
15148,chin food pak sar,chinese food pak sar
15149,mar raya,margas raya
15150,grosir babykid,grosir babykidswear
15151,pon pin 4,pon pinang 4
15152,perusa umum perhutani,perusahaan umum perhutani
15153,ud. rah geubrina,ud. rahmat geubrina
15154,war double two cafe,warung double two cafe
15155,war makan makah,warung makan makah
15156,mela dalam,melawan dalam
15157,"kembangan kid mojojajar, kemlagi - mojokerto","kembangan kidul, mojojajar, kemlagi - mojokerto"
15158,"kembangan kidul, mojojajar, keml - mojokerto","kembangan kidul, mojojajar, kemlagi - mojokerto"
15159,maja 9,majalaya 9
15160,bill gajah mungkur,billiard gajah mungkur
15161,mush al-ikhlas,musholla al-ikhlas
15162,sky-wiz kitc & bar,sky-wiz kitchen & bar
15163,latino bin,latino bingin
15164,klinik med sehat,klinik medika sehat
15165,3 putri ps toko kebut ternak,3 putri ps toko kebutuhan ternak
15166,lasi,lasikun
15167,early lear centre,early learning centre
15168,war nasi dan kopi,warung nasi dan kopi
15169,rias penga tanti,rias pengantin tanti
15170,pt comm finance,pt commerce finance
15171,percet sadar karya,percetakan sadar karya
15172,kamp ciko ilir,kampung ciko ilir
15173,toko cos dvd,toko cosmic dvd
15174,pangkas ram supri,pangkas rambut supri
15175,js flor & advertising,js florist & advertising
15176,sudi,sudirman
15177,puc sant ten 2,pucang sant ten 2
15178,perum rege one,perumahan rege one
15179,ren komputer dek tah ney,rental komputer dek tah ney
15180,rental komp dek tah ney,rental komputer dek tah ney
15181,seko umum petra 11,sekolah umum petra 11
15182,war candra,wartel candra
15183,toko kur,toko kurnia
15184,tb karu alam,tb karunia alam
15185,tent pela,tent pelajar
15186,per tanjung permai regency,perum. tanjung permai regency
15187,perum. tanjung per regency,perum. tanjung permai regency
15188,perum. tanjung permai rege,perum. tanjung permai regency
15189,umri fat s.h. & rekan,"umri fatha, s.h. & rekan"
15190,gun sari - banyu,gunung sari - banyu
15191,laun & dry cleaning favorite,laundry & dry cleaning favorite
15192,pangk asem,pangkalan asem
15193,gelang olahraga sunter,gelanggang olahraga sunter
15194,gelanggang olah sunter,gelanggang olahraga sunter
15195,gelanggang olahraga sun,gelanggang olahraga sunter
15196,pang rambut palestina 04,pangkas rambut palestina 04
15197,ud. jawa elek,ud. jawa elektrik
15198,nad hijab gerai kerudung,nadila hijab gerai kerudung
15199,venus inte wallpaper,venus interior wallpaper
15200,venus interior wallp,venus interior wallpaper
15201,bro ii g,brongg ii g
15202,widi ningtias,widianti ningtias
15203,man besar 4e,mangga besar 4e
15204,day cafe,dayung cafe
15205,sta celullar,stacia celullar
15206,kh.w has,kh.w hasyim
15207,raya sudi,raya sudikam
15208,jend sudi,jenderal sudi
15209,mas hidayatullah,masjid hidayatullah
15210,madsu,madsumeri
15211,shel ojf,shelter ojf
15212,toko kelon,toko kelontong
15213,kutai timber indon pt,kutai timber indonesia pt
15214,mas nurul huda,masjid nurul huda
15215,kerak telor ment bpk abdurrachman,kerak telor menteng bpk abdurrachman
15216,kamp gaok,kampung gaok
15217,cis 1,cisang 1
15218,war ibu titin,warung ibu titin
15219,sd neg pademangan 3 pagi,sd negeri pademangan 3 pagi
15220,sd negeri padema 3 pagi,sd negeri pademangan 3 pagi
15221,kame,kamelia
15222,desa hel,desa heleut
15223,mi sabi muhtadin,mi sabilul muhtadin
15224,vill enz puncak,vill enzeid puncak
15225,fie genuine leat heritage,fie genuine leather heritage
15226,perum griya brand,perumahan griya brand
15227,mas syuhada,masjid syuhada
15228,lebakw - 1,lebakwangi - 1
15229,alt,altara
15230,lapa bola voli,lapangan bola voli
15231,wiga gode,wigarin gode
15232,sakti purwa muk pt,sakti purwa mukti. pt
15233,madrasah ibtida swasta ulumul qur'an ali bin abi thalib,madrasah ibtidaiyah swasta ulumul qur'an ali bin abi thalib
15234,madrasah ibtidaiyah swa ulumul qur'an ali bin abi thalib,madrasah ibtidaiyah swasta ulumul qur'an ali bin abi thalib
15235,madrasah ibtidaiyah swasta ulumul qur'an ali bin abi ali,madrasah ibtidaiyah swasta ulumul qur'an ali bin abi thalib
15236,elemen school 012 east balikpapan,elementary school 012 east balikpapan
15237,kli gatra simpang kawat,klinik gatra simpang kawat
15238,pt. equa jaya,pt. equator jaya
15239,pt. lima utama wis,pt. lima utama wisesa
15240,gang al bar i,gang al barkah i
15241,plum sem,plumpang sem
15242,kar collection,karael collection
15243,sdn sidoh 02,sdn sidohasri 02
15244,toko akses iwan,toko aksesoris iwan
15245,zen jaya,zenith jaya
15246,raff hills blok a,raffles hills blok a
15247,trunolan gg. i,"trunolantaran, gg. i"
15248,kope mitra jaya kerti,koperasi mitra jaya kerti
15249,jitt royal thai cuisine,jittlada royal thai cuisine
15250,sut utama,sutera utama
15251,gloria fatia kenc pt,gloria fatia kencana pt
15252,radhiy adawiyah baitul hikmah,radhiyatul adawiyah baitul hikmah
15253,toko besi sinar baja mand 1,toko besi sinar baja mandiri 1
15254,may sut,mayjen sut
15255,dak cargo,dakota cargo
15256,"perumahan tel golf sawangan, cluster belanda","perumahan telaga golf sawangan, cluster belanda"
15257,perumahan telaga golf sawangan cluster belanda,"perumahan telaga golf sawangan, cluster belanda"
15258,"perumahan telaga golf sawangan, clus belanda","perumahan telaga golf sawangan, cluster belanda"
15259,mare raya,marelan raya
15260,tof cake & brand toko,tofani cake & brand toko
15261,graha akt ground floor,graha aktiva ground floor
15262,graha aktiva gro floor,graha aktiva ground floor
15263,kope agung sedana,koperasi agung sedana
15264,ayu collec,ayu collection
15265,bakso lumayan mbe,bakso lumayan mbelor
15266,paud pela ceria,paud pelangi ceria
15267,wiy indah iii,wiyung indah iii
15268,mitra bukal kios pojok 78,mitra bukalapak kios pojok 78
15269,gg. suk,gg. sukasi
15270,mand cell,mandiri cell
15271,kan desa tanjungraja selatan,kantor desa tanjungraja selatan
15272,toko zona lap dan accesoris,toko zona laptop dan accesoris
15273,adnyani collec,adnyani collection
15274,zenbu & beat quarter,zenbu & beatrice quarter
15275,toko hara berkat,toko harapan berkat
15276,toko harapan ber,toko harapan berkat
15277,sinar mak toko,sinar makmur toko
15278,merd utara,merdeka utara
15279,kin haus,kinder haus
15280,servis elektr bekas,servis elektronik bekas
15281,maje pendidikan dasar dan menengah muhammadiyah,majelis pendidikan dasar dan menengah muhammadiyah
15282,majelis pendid dasar dan menengah muhammadiyah,majelis pendidikan dasar dan menengah muhammadiyah
15283,majelis pendidikan dasar dan mene muhammadiyah,majelis pendidikan dasar dan menengah muhammadiyah
15284,ark cell,arkhan cell
15285,sony author service pekanbaru,sony authorized service pekanbaru
15286,semen pad pt,semen padang pt
15287,pang rambut raya,pangkas rambut raya
15288,pangkas ram raya,pangkas rambut raya
15289,sent toko,sentral toko
15290,tran indonesia wisma pede 3rd floor,transafe indonesia wisma pede 3rd floor
15291,batu karu,batu karu-wa
15292,advo antoni silo dan associates,advokat antoni silo dan associates
15293,advokat ant silo dan associates,advokat antoni silo dan associates
15294,ngal indah,ngaliyan indah
15295,ketin baru i,ketintang baru i
15296,apo k 24,apotek k 24
15297,ruko niaga kali 1,ruko niaga kalimas 1
15298,jend gatot subroto,jendral gatot subroto
15299,mart terang bulan al jaya,martabak terang bulan al jaya
15300,martabak ter bulan al jaya,martabak terang bulan al jaya
15301,bank cent asia,bank central asia
15302,serd,serdang
15303,kelurahan serua ind tangerang selatan,"kelurahan serua indah, tangerang selatan"
15304,sab fried chicken,sabana fried chicken
15305,sabana fried chic,sabana fried chicken
15306,kope wredatama,koperasi wredatama
15307,gram,gramedia
